task_id,barcode_id,assigned_device_id,assay_protocol,task_status
TSK-100800,BC-77291002,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100801,BC-77291003,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100802,BC-77291004,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100803,BC-77291005,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100804,BC-77291006,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100805,BC-77291007,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100806,BC-77291008,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100807,BC-77291009,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100808,BC-77291010,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100809,BC-77291011,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100810,BC-77291012,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100811,BC-77291013,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100812,BC-77291014,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100813,BC-77291015,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100814,BC-77291016,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100815,BC-77291017,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100816,BC-77291018,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100817,BC-77291019,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100818,BC-77291020,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100819,BC-77291021,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100820,BC-77291022,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100821,BC-77291023,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100822,BC-77291024,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100823,BC-77291025,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100824,BC-77291026,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100825,BC-77291027,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100826,BC-77291028,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100827,BC-77291029,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100828,BC-77291030,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100829,BC-77291031,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100830,BC-77291032,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100831,BC-77291033,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100832,BC-77291034,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100833,BC-77291035,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100834,BC-77291036,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100835,BC-77291037,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100836,BC-77291038,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100837,BC-77291039,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100838,BC-77291040,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100839,BC-77291041,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100840,BC-77291042,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100841,BC-77291043,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100842,BC-77291044,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100843,BC-77291045,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100844,BC-77291046,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100845,BC-77291047,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100846,BC-77291048,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100847,BC-77291049,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100848,BC-77291050,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100849,BC-77291051,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100850,BC-77291052,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100851,BC-77291053,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100852,BC-77291054,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100853,BC-77291055,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100854,BC-77291056,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100855,BC-77291057,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100856,BC-77291058,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100857,BC-77291059,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100858,BC-77291060,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100859,BC-77291061,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100860,BC-77291062,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100861,BC-77291063,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100862,BC-77291064,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100863,BC-77291065,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100864,BC-77291066,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100865,BC-77291067,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100866,BC-77291068,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100867,BC-77291069,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100868,BC-77291070,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100869,BC-77291071,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100870,BC-77291072,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100871,BC-77291073,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100872,BC-77291074,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100873,BC-77291075,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100874,BC-77291076,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100875,BC-77291077,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100876,BC-77291078,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100877,BC-77291079,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100878,BC-77291080,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100879,BC-77291081,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100880,BC-77291082,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100881,BC-77291083,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100882,BC-77291084,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100883,BC-77291085,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100884,BC-77291086,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100885,BC-77291087,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100886,BC-77291088,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100887,BC-77291089,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100888,BC-77291090,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100889,BC-77291091,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100890,BC-77291092,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100891,BC-77291093,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100892,BC-77291094,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100893,BC-77291095,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100894,BC-77291096,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100895,BC-77291097,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100896,BC-77291098,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100897,BC-77291099,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100898,BC-77291100,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100899,BC-77291101,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100900,BC-77291102,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100901,BC-77291103,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100902,BC-77291104,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100903,BC-77291105,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100904,BC-77291106,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100905,BC-77291107,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100906,BC-77291108,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100907,BC-77291109,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100908,BC-77291110,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100909,BC-77291111,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100910,BC-77291112,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100911,BC-77291113,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100912,BC-77291114,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100913,BC-77291115,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100914,BC-77291116,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100915,BC-77291117,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100916,BC-77291118,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100917,BC-77291119,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100918,BC-77291120,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100919,BC-77291121,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100920,BC-77291122,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100921,BC-77291123,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100922,BC-77291124,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100923,BC-77291125,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100924,BC-77291126,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100925,BC-77291127,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100926,BC-77291128,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100927,BC-77291129,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100928,BC-77291130,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100929,BC-77291131,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100930,BC-77291132,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100931,BC-77291133,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100932,BC-77291134,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100933,BC-77291135,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100934,BC-77291136,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100935,BC-77291137,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100936,BC-77291138,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100937,BC-77291139,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100938,BC-77291140,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100939,BC-77291141,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100940,BC-77291142,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100941,BC-77291143,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100942,BC-77291144,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100943,BC-77291145,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100944,BC-77291146,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100945,BC-77291147,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100946,BC-77291148,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100947,BC-77291149,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100948,BC-77291150,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100949,BC-77291151,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100950,BC-77291152,DEV-CHEM-04,CHEM_LIPID,PENDING
TSK-100951,BC-77291153,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100952,BC-77291154,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100953,BC-77291155,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100954,BC-77291156,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100955,BC-77291157,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100956,BC-77291158,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100957,BC-77291159,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100958,BC-77291160,DEV-IMM-02,IMMUNO_THY,PENDING
TSK-100959,BC-77291161,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100960,BC-77291162,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100961,BC-77291163,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100962,BC-77291164,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100963,BC-77291165,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100964,BC-77291166,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100965,BC-77291167,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100966,BC-77291168,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100967,BC-77291169,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100968,BC-77291170,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100969,BC-77291171,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100970,BC-77291172,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100971,BC-77291173,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100972,BC-77291174,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100973,BC-77291175,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100974,BC-77291176,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100975,BC-77291177,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100976,BC-77291178,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100977,BC-77291179,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100978,BC-77291180,DEV-HEMA-01,HEMA_FULL,PROCESSED
TSK-100979,BC-77291181,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100980,BC-77291182,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100981,BC-77291183,DEV-IMM-02,IMMUNO_THY,PROCESSED
TSK-100982,BC-77291184,DEV-HEMA-01,HEMA_FULL,PENDING
TSK-100983,BC-77291185,DEV-CHEM-04,CHEM_CMP,PENDING
TSK-100984,BC-77291186,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100985,BC-77291187,DEV-CHEM-04,CHEM_LIPID,PROCESSED
TSK-100986,BC-77291188,DEV-CHEM-04,CHEM_CMP,PROCESSED
TSK-100987,BC-77291189,DEV-CHEM-04,CHEM_LIPID,PROCESSED
